agency_id,route_color,route_id,route_long_name,route_short_name,route_text_color,route_type
2,00ff00,12912,Portal Américas,9-1,ffffff,3
2,00ff00,12913,Casablanca,9-1,ffffff,3
2,00ff00,12914,Portal Américas,9-10,ffffff,3
2,00ff00,12915,Roma,9-10,ffffff,3
2,00ff00,12916,Portal Américas,9-4,ffffff,3
2,00ff00,12917,Patio Bonito,9-4,ffffff,3
2,00ff00,12918,Portal Américas,9-7,ffffff,3
2,00ff00,12919,Bosa La Independencia,9-7,ffffff,3
2,00ff00,12920,Metrovivienda,9-2,ffffff,3
2,00ff00,12975,Peninsula ||  Portal 20 de Julio,13-7,ffffff,3
3,0000ff,10004,H710 El Progreso  || H710 Portal Usme,HH710,ffffff,3
3,0000ff,10005,H710 El Progreso,HH710,ffffff,3
3,0000ff,10006,Modelia,17-3,ffffff,3
3,0000ff,10010,Modelia ||  Estación Av Rojas,17-3,ffffff,3
3,0000ff,10011,Estación Av Rojas,17-3,ffffff,3
3,0000ff,10012,G712 Bosa Estacion || H712 El Uval,HG712,ffffff,3
3,0000ff,10174,Est. Calle 100,A305,ffffff,3
3,0000ff,10175,El Recodo,K305,ffffff,3
3,0000ff,10182,A153 Centro || C153 Suba La Gaitana,CA153,ffffff,3
3,0000ff,10183,A153 Centro || C153 Suba La Gaitana Ciclovía,CA153,ffffff,3
3,0000ff,10224,El Refugio,K707,ffffff,3
3,0000ff,10227,El Uval,H704,ffffff,3
3,0000ff,10235,El Uval,H707,ffffff,3
3,0000ff,10245,B144 Clínica El Bosque || C144 Bilbao,CB144,ffffff,3
3,0000ff,10248,B138 Cedritos || C138 Bilbao,CB138,ffffff,3
3,0000ff,10254,Perdomo,H613,ffffff,3
3,0000ff,10255,Horacio Orjuela,L613,ffffff,3
3,0000ff,10267,Portal Sur ||  Potosí,T04,ffffff,3
3,0000ff,10271,Suba Nogales,C154,ffffff,3
3,0000ff,10272,A617 Centro || H617 Perdomo Ciclovía,HA617,ffffff,3
3,0000ff,10275,A617 Centro || H617 Perdomo,HA617,ffffff,3
3,0000ff,10282,Ciudadela Usme,H724,ffffff,3
3,0000ff,10290,D630 Morato || H630 Arborizadora Alta,HD630,ffffff,3
3,0000ff,10292,Zona Franca ||  Portal Eldorado,16-8,ffffff,3
3,0000ff,10293,Portal Eldorado,16-8,ffffff,3
3,0000ff,10294,Zona Franca,16-8,ffffff,3
3,0000ff,10296,Montevideo,K724,ffffff,3
3,0000ff,10299,H632 Villa Gloria || H632 General Santander,HH632,ffffff,3
3,0000ff,10302,D717 Bonanza || H717 Usme Centro,HD717,ffffff,3
3,0000ff,10304,La Felicidad ||  Est. Av. Rojas,K301,ffffff,3
3,0000ff,10305,Villemar ||  Portal Eldorado,16-10,ffffff,3
3,0000ff,10306,Est. Av. Rojas,K301,ffffff,3
3,0000ff,10307,Portal Eldorado,16-10,ffffff,3
3,0000ff,10309,Diana Turbay,H131,ffffff,3
3,0000ff,10312,Bilbao,C131,ffffff,3
3,0000ff,10319,Santa Librada ||  Portal Usme,3-2,ffffff,3
3,0000ff,10321,Diana Turbay Ciclovía,H131,ffffff,3
3,0000ff,10322,Chuniza  ||  Portal Usme,3-3,ffffff,3
3,0000ff,10323,Portal Usme,3-3,ffffff,3
3,0000ff,10324,Chuniza,3-3,ffffff,3
3,0000ff,10329,La Esperanza Sur ||  Portal Usme,3-12,ffffff,3
3,0000ff,10331,Bochica ||  Estación Molinos,4-1,ffffff,3
3,0000ff,10332,Portal Usme,3-12,ffffff,3
3,0000ff,10335,La Esperanza Sur,3-12,ffffff,3
3,0000ff,10340,Belén ||  Portal El Dorado,16-12,ffffff,3
3,0000ff,10341,Portal El Dorado,16-12,ffffff,3
3,0000ff,10342,Belén,16-12,ffffff,3
3,0000ff,10347,El Uval ||  Portal Usme,3-14,ffffff,3
3,0000ff,10348,Marichuela ||  Portal Usme,3-9,ffffff,3
3,0000ff,10358,El Uval,3-14,ffffff,3
3,0000ff,10366,Virrey,3-8,ffffff,3
3,0000ff,10374,Fontibón Brisas,K331,ffffff,3
3,0000ff,10376,Centro Comercial Tunal,H317,ffffff,3
3,0000ff,10377,Aeropuerto,K317,ffffff,3
3,0000ff,10378,Uribe Uribe AM ||  Estación Calle 40 Sur AM,7-1,ffffff,3
3,0000ff,10381,Usminia ||  Portal Usme,3-5,ffffff,3
3,0000ff,10382,El Uval,H318,ffffff,3
3,0000ff,10383,Fontibón Brisas,K318,ffffff,3
3,0000ff,10384,Fontibón Brisas,K325,ffffff,3
3,0000ff,10385,Portal Usme,3-5,ffffff,3
3,0000ff,10386,Moralba,L312,ffffff,3
3,0000ff,10387,Fontibon Brisas,K312,ffffff,3
3,0000ff,10388,Usminia,3-5,ffffff,3
3,0000ff,10389,Est. Av. 1 de Mayo,L328,ffffff,3
3,0000ff,10394,Fontibón Brisas,K314,ffffff,3
3,0000ff,10398,Colina ||  Est. Alcalá,19-2,ffffff,3
